"PIQ","Brain","Height","Weight"
124,81.69,64.5,118
150,103.84,73.3,143
128,96.54,68.8,172
134,95.15,65,147
110,92.88,69,146
131,99.13,64.5,138
98,85.43,66,175
84,90.49,66.3,134
147,95.55,68.8,172
124,83.39,64.5,118
128,107.95,70,151
124,92.41,69,155
147,85.65,70.5,155
90,87.89,66,146
96,86.54,68,135
120,85.22,68.5,127
102,94.51,73.5,178
84,80.8,66.3,136
86,88.91,70,180
84,90.59,76.5,186
134,79.06,62,122
128,95.5,68,132
102,83.18,63,114
131,93.55,72,171
84,79.86,68,140
110,106.25,77,187
72,79.35,63,106
124,86.67,66.5,159
132,85.78,62.5,127
137,94.96,67,191
110,99.79,75.5,192
86,88,69,181
81,83.43,66.5,143
128,94.81,66.5,153
124,94.94,70.5,144
94,89.4,64.5,139
74,93,74,148
89,93.59,75.5,179
